Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B152849,10/15/2015,"$20,000.00",2,2900 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7922470431905, -122.443841350742"
B152850,10/15/2015,"$35,000.00",2,0 Block Of Alpine Terrace,94117,8,Haight Ashbury,"37.7696376000813, -122.437611176904"
B152844,10/14/2015,"$67,500.00",3,0 Block Of Talbert Street,94134,10,Visitacion Valley,"37.7112135246679, -122.406059453177"
B152845,10/14/2015,,,3600 Block Of Cesar Chavez Street,94110,9,Noe Valley,"37.7479365325719, -122.421932739799"
B152846,10/14/2015,,,200 Block Of Joost Avenue,94131,8,West of Twin Peaks,"37.7324173848006, -122.440887834596"
B152847,10/14/2015,"$29,500.00",1,2400 Block Of Buchanan Street,94115,2,Pacific Heights,"37.7924401820716, -122.431245878569"
B152840,10/13/2015,,,1400 Block Of 16th Avenue,94122,7,Inner Sunset,"37.7609052318101, -122.47378667011"
B152841,10/13/2015,"$75,000.00",2,1400 Block Of 16th Avenue,94122,7,Inner Sunset,"37.7609052318101, -122.47378667011"
B152842,10/13/2015,"$31,250.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B152843,10/13/2015,"$31,250.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B152798,10/09/2015,"$100,000.00",2,1400 Block Of Potrero Avenue,94110,10,Mission,"37.7504816103738, -122.405740397556"
B152799,10/09/2015,,,1400 Block Of Potrero Avenue,94110,10,Mission,"37.7504816103738, -122.405740397556"
B152766,10/08/2015,,,200 Block Of San Carlos Street,94110,9,Mission,"37.7593905432618, -122.41983909787"
B152767,10/08/2015,"$38,200.00",1,3500 Block Of 19th Street,94110,8,Mission,"37.7600213591677, -122.421836479978"
B152796,10/08/2015,,,700 Block Of San Jose Avenue,94110,9,Bernal Heights,"37.7430891555297, -122.422845062275"
B152797,10/08/2015,,,1100 Block Of Union Street,94109,3,Russian Hill,"37.7993049505847, -122.417794823326"
B152761,10/07/2015,"$100,000.00",1,300 Block Of Douglass Street,94114,8,Twin Peaks,"37.7576314661377, -122.439122704907"
B152763,10/07/2015,,,1500 Block Of Washington Street,94109,3,Russian Hill,"37.7936295412509, -122.418768796924"
B152764,10/07/2015,,,1500 Block Of Washington Street,94109,3,Russian Hill,"37.7936295412509, -122.418768796924"
B152765,10/07/2015,,,2600 Block Of 21st Street,94116,9,Mission,"37.7577327595729, -122.408208075123"
B152729,10/06/2015,"$20,000.00",1,100 Block Of Stillings Avenue,94131,7,West of Twin Peaks,"37.7346158612653, -122.44365434557"
B152756,10/06/2015,"$20,000.00",1,100 Block Of Stillings Avenue,94131,7,West of Twin Peaks,"37.7346158612653, -122.44365434557"
B152757,10/06/2015,"$26,500.00",1,2800 Block Of Green Street,94123,2,Marina,"37.7948564336069, -122.445986627592"
B152758,10/06/2015,,,1700 Block Of 7th Avenue,94122,7,Inner Sunset,"37.7557715404481, -122.463657106015"
B152759,10/06/2015,,,500 Block Of Clayton Street,94117,5,Haight Ashbury,"37.7702556426715, -122.448741679859"
B152762,10/06/2015,"$40,000.00",1,2400 Block Of 47th Avenue,94116,4,Sunset/Parkside,"37.7407846482495, -122.505694431039"
B152717,10/05/2015,,,3500 Block Of 18th Street,94110,8,Mission,"37.7615366327258, -122.423372714463"
B152718,10/05/2015,,,1900 Block Of Mcallister Street,94115,5,Lone Mountain/USF,"37.7770068072665, -122.444133013778"
B152719,10/05/2015,,,1900 Block Of Mcallister Street,94115,5,Lone Mountain/USF,"37.7770068072665, -122.444133013778"
B152720,10/05/2015,,,200 Block Of Missouri Street,94107,10,Potrero Hill,"37.763211108389, -122.3966546731"
B152721,10/05/2015,"$135,000.00",2,2000 Block Of Pine Street,94115,5,Pacific Heights,"37.7885269286596, -122.429544952567"
B152713,10/02/2015,,,2300 Block Of Lombard Street,94123,2,Marina,"37.7994372930076, -122.440182464951"
B152714,10/02/2015,,,300 Block Of Fair Oaks Street,94110,8,Mission,"37.7511035999212, -122.423978090703"
B152715,10/02/2015,,,300 Block Of Fair Oaks Street,94110,8,Mission,"37.7511035999212, -122.423978090703"
B152716,10/02/2015,,,500 Block Of Belvedere Street,94117,5,Haight Ashbury,"37.7621967171978, -122.4479457969"
B152711,09/30/2015,,,0 Block Of Pearl Street,94103,8,Mission,"37.7710192618345, -122.423870549171"
B152712,09/30/2015,,,0 Block Of Pearl Street,94103,8,Mission,"37.7710192618345, -122.423870549171"
B152674,09/29/2015,,,0 Block Of Precita Avenue,94110,9,Bernal Heights,"37.7466802314465, -122.418711309873"
B152704,09/29/2015,,,600 Block Of Natoma Street,94103,6,South of Market,"37.7774997279424, -122.410999269254"
B152705,09/29/2015,"$22,000.00",1,600 Block Of 24th Avenue,94121,1,Outer Richmond,"37.7772858153046, -122.483388670951"
B152706,09/29/2015,"$110,000.00",2,200 Block Of 6th Avenue,94118,1,Inner Richmond,"37.7838688689869, -122.464419096323"
B152707,09/29/2015,"$14,600.00",2,1900 Block Of Broadway Street,94109,2,Pacific Heights,"37.7950545008456, -122.429177912371"
B152702,09/28/2015,,,2300 Block Of Bryant Street,94110,9,Mission,"37.7567981603944, -122.409455250509"
B152703,09/28/2015,,,1800 Block Of 20th Avenue,94122,4,Sunset/Parkside,"37.7532640269525, -122.477412671026"
B152709,09/28/2015,"$27,173.37",2,2400 Block Of Buchanan Street,94115,2,Pacific Heights,"37.7924401820716, -122.431245878569"
B152710,09/28/2015,"$9,500.00",2,2400 Block Of Buchanan Street,94115,2,Pacific Heights,"37.7924401820716, -122.431245878569"
B152623,09/25/2015,,,900 Block Of Franklin Street,94109,5,Western Addition,"37.7833939649512, -122.422536931345"
B152624,09/25/2015,,,2200 Block Of 18th Avenue,94116,7,West of Twin Peaks,"37.7458985470842, -122.474751486348"
B152625,09/25/2015,,,2200 Block Of 18th Avenue,94116,7,West of Twin Peaks,"37.7458985470842, -122.474751486348"
B152626,09/25/2015,"$49,258.67",1,700 Block Of 20th Avenue,94121,1,Outer Richmond,"37.7737509763422, -122.478835238597"
B152584,09/24/2015,"$30,000.00",2,300 Block Of South Van Ness Avenue,94103,9,Mission,"37.7676095144236, -122.417654820048"
B152470,09/22/2015,,,500 Block Of Guerrero Street,94110,8,Mission,"37.762374066159, -122.423763291575"
B152517,09/22/2015,,,700 Block Of 20th Avenue,94121,1,Outer Richmond,"37.7737509763422, -122.478835238597"
B152556,09/22/2015,,,800 Block Of Pine Street,94108,3,Nob Hill,"37.7909306098255, -122.409788680072"
B152551,09/21/2015,"$40,000.00",2,500 Block Of 22nd Avenue,94121,1,Outer Richmond,"37.7773832277027, -122.481244651927"
B152552,09/21/2015,,,3500 Block Of 18th Street,94110,8,Mission,"37.7615366327258, -122.423372714463"
B152553,09/21/2015,,,3500 Block Of 18th Street,94110,8,Mission,"37.7615366327258, -122.423372714463"
B152554,09/21/2015,"$32,000.00",3,100 Block Of Clearfield Drive,94132,7,Sunset/Parkside,"37.7313599502197, -122.49132183967"
B152526,09/18/2015,"$32,500.00",5,100 Block Of Raymond Avenue,94134,10,Visitacion Valley,"37.712974703616, -122.406103308878"
B152555,09/18/2015,,,400 Block Of Bright Street,94132,11,Oceanview/Merced/Ingleside,"37.7189095588003, -122.463620387974"
B152523,09/17/2015,"$40,082.70",1,300 Block Of Lexington Street,94110,9,Mission,"37.7577514035796, -122.420353645248"
B152524,09/17/2015,"$80,000.00",4,1000 Block Of Church Street,94114,8,Noe Valley,"37.7540901260423, -122.427728377279"
B152525,09/17/2015,,,1300 Block Of 24th Avenue,94122,4,Sunset/Parkside,"37.762392063343, -122.482486394568"
B152708,09/16/2015,"$10,000.00",1,200 Block Of 27th Avenue,94121,2,Outer Richmond,"37.7847203012839, -122.487149444925"
B152516,09/15/2015,"$10,500.00",1,200 Block Of Waller Street,94102,5,Hayes Valley,"37.7714337598631, -122.427780879822"
B152474,09/14/2015,"$5,000.00",1,0 Block Of Adair Street,94103,9,Mission,"37.7657739543841, -122.418093215831"
B152475,09/14/2015,"$48,400.00",1,3800 Block Of Cesar Chavez Street,94131,8,Noe Valley,"37.7478178606849, -122.425912008878"
B152476,09/11/2015,"$6,083.76",1,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B152269,09/10/2015,"$55,000.00",2,200 Block Of 16th Avenue,94118,1,Outer Richmond,"37.7833915208137, -122.475234084038"
B152473,09/10/2015,,,200 Block Of 16th Avenue,94118,1,Outer Richmond,"37.7833915208137, -122.475234084038"
B152468,09/08/2015,,,2100 Block Of Franklin Street,94109,2,Pacific Heights,"37.794175339175, -122.424714670585"
B152469,09/08/2015,"$100,000.00",1,1900 Block Of Union Street,94123,2,Marina,"37.7976099466924, -122.43183185795"
B152471,09/08/2015,"$48,500.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B152472,09/08/2015,,,2300 Block Of Broadway Street,94115,2,Pacific Heights,"37.794216050218, -122.435754161673"
B152522,09/08/2015,"$48,500.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B152464,09/04/2015,,,400 Block Of Vermont Street,94107,10,Potrero Hill,"37.7640272818448, -122.404365369809"
B152465,09/04/2015,,,400 Block Of Vermont Street,94107,10,Potrero Hill,"37.7640272818448, -122.404365369809"
B152466,09/04/2015,,,400 Block Of Vermont  Street,94107,10,Potrero Hill,"37.7640272818448, -122.404365369809"
B152467,09/04/2015,"$45,600.00",2,700 Block Of 44th Avenue,94121,1,Outer Richmond,"37.7744419949422, -122.504679223305"
B152416,09/03/2015,,,100 Block Of Highland Avenue,94110,9,Bernal Heights,"37.7372540255615, -122.422102908805"
B152417,09/03/2015,,,1100 Block Of Pacific Avenue,94133,3,Nob Hill,"37.7959773624652, -122.414652305454"
B152273,09/01/2015,,,1900 Block Of 31st Avenue,94116,4,Sunset/Parkside,"37.7508718583511, -122.489199062788"
B152282,09/01/2015,"$89,518.33",4,900 Block Of Valencia Street,94110,9,Mission,"37.7573058647941, -122.421086718243"
B152418,09/01/2015,"$8,500.00",2,2900 Block Of Mission Street,94110,9,Mission,"37.74984462225, -122.418142583157"
B152345,08/31/2015,,,200 Block Of Lake Street,94118,2,Inner Richmond,"37.7867372176904, -122.462004809136"
B152346,08/31/2015,,,1600 Block Of 40th Avenue,94122,4,Sunset/Parkside,"37.7560421778577, -122.499099309643"
B152316,08/28/2015,,,200 Block Of 25th Avenue,94121,1,Outer Richmond,"37.7848109229534, -122.48514853004"
B152317,08/28/2015,"$20,000.00",2,1900 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7754949491987, -122.4484478813"
B152318,08/28/2015,"$5,551.00",1,3000 Block Of Balboa Street,94121,1,Outer Richmond,"37.7759295981821, -122.491418998872"
B152280,08/27/2015,"$8,950.00",1,0 Block Of College Terrace,94112,8,Bernal Heights,"37.7345979818744, -122.426168703889"
B152311,08/27/2015,,,1500 Block Of 45th Avenue,94122,4,Sunset/Parkside,"37.7576764115793, -122.5045907174"
B152312,08/27/2015,,,1200 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7303088777413, -122.384318876155"
B152313,08/27/2015,"$25,700.00",2,100 Block Of Frederick Street,94117,5,Haight Ashbury,"37.7674287654322, -122.445149029157"
B152314,08/27/2015,,,600 Block Of 29th Street,94131,8,Noe Valley,"37.7433115639234, -122.43397582762"
B152315,08/27/2015,,,600 Block Of 29th Street,94131,8,Noe Valley,"37.7433115639234, -122.43397582762"
B152279,08/26/2015,"$40,000.00",2,3700 Block Of 16th Street,94114,8,Castro/Upper Market,"37.7637474234423, -122.436871167904"
B152276,08/25/2015,,,0 Block Of Castle Street,94133,3,North Beach,"37.8004585601777, -122.40521387928"
B152277,08/25/2015,,,0 Block Of Castle Street,94133,3,North Beach,"37.8004585601777, -122.40521387928"
B152278,08/25/2015,,,0 Block Of Castle Street,94133,3,North Beach,"37.8004585601777, -122.40521387928"
B152274,08/24/2015,"$30,000.00",1,600 Block Of Capp Street,94110,9,Mission,"37.7563058754319, -122.417666463719"
B152275,08/24/2015,,,1800 Block Of Pacific Avenue,94109,2,Pacific Heights,"37.7944481958271, -122.425681947882"
B152270,08/21/2015,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B152271,08/21/2015,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B152272,08/21/2015,"$75,690.00",1,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B152268,08/20/2015,"$5,000.00",1,1700 Block Of 26th Avenue,94122,4,Sunset/Parkside,"37.7548405075406, -122.484108127485"
B152265,08/19/2015,"$105,733.32",4,1100 Block Of Shotwell Street,94110,9,Mission,"37.7500415876114, -122.414868812818"
B152266,08/19/2015,,,700 Block Of Kansas Street,94107,10,Potrero Hill,"37.7602504319209, -122.403178548603"
B152267,08/19/2015,,,3700 Block Of Judah Street,94122,4,Sunset/Parkside,"37.7606450884375, -122.502180160563"
B152264,08/18/2015,"$69,500.00",1,2600 Block Of Sacramento Street,94115,2,Pacific Heights,"37.7895796919786, -122.436506794631"
B152262,08/17/2015,"$40,000.00",1,1800 Block Of 22nd Avenue,94122,4,Sunset/Parkside,"37.7531635896754, -122.479691469597"
B152263,08/17/2015,,,200 Block Of 16th Avenue,94118,1,Outer Richmond,"37.7833915208137, -122.475234084038"
B152257,08/14/2015,,,700 Block Of 15th Avenue,94118,1,Outer Richmond,"37.7739920402912, -122.473564491672"
B152258,08/14/2015,"$62,000.00",2,2200 Block Of 15th  Street,94114,8,Castro/Upper Market,"37.765739788651, -122.434358454096"
B152259,08/14/2015,,,500 Block Of Dewey Boulevard,94116,7,West of Twin Peaks,"37.7446205129164, -122.462484785286"
B152260,08/14/2015,,,0 Block Of Salmon Street,94133,3,Nob Hill,"37.7965569038914, -122.412544215854"
B152261,08/14/2015,"$35,000.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B152254,08/13/2015,,,1200 Block Of Divisadero Street,94115,5,Western Addition,"37.7810395298496, -122.439140219739"
B152256,08/13/2015,"$20,000.00",2,1600 Block Of Florida Street,94110,9,Bernal Heights,"37.7471820134946, -122.409228475773"
B152255,08/12/2015,"$40,000.00",2,1200 Block Of 48th Avenue,94122,4,Sunset/Parkside,"37.7631301013509, -122.508334049767"
B152252,08/11/2015,,,1000 Block Of Masonic Avenue,94117,5,Haight Ashbury,"37.7716194931901, -122.44555757424"
B152253,08/11/2015,"$25,000.00",1,500 Block Of Leavenworth Street,94109,6,Tenderloin,"37.7860598453339, -122.414643592587"
B152250,08/10/2015,"$20,354.00",2,900 Block Of Judah Street,94122,7,Inner Sunset,"37.7618193074359, -122.472091115248"
B152251,08/10/2015,,,700 Block Of Natoma Street,94103,6,South of Market,"37.7760880520156, -122.412986705682"
B152072,08/07/2015,,,600 Block Of La Grande Avenue,94112,11,Excelsior,"37.7162156399673, -122.427084747946"
B152073,08/07/2015,"$50,000.00",4,0 Block Of San Jose Avenue,94110,8,Mission,"37.7540652772746, -122.4215663195"
B152074,08/07/2015,,2,2100 Block Of Pacific Avenue,94115,2,Pacific Heights,"37.7939264096423, -122.430637262697"
B152075,08/07/2015,,,800 Block Of 32nd Avenue,94121,1,Outer Richmond,"37.7731575588631, -122.491824980045"
B152076,08/07/2015,"$14,000.00",1,300 Block Of Steiner Street,94117,5,Haight Ashbury,"37.7723545803198, -122.432254532613"
B152077,08/07/2015,"$4,000.00",2,0 Block Of Terra Vista Avenue,94115,2,Lone Mountain/USF,"37.7814899386496, -122.44332591489"
B152078,08/07/2015,"$20,000.00",1,200 Block Of San Jose Avenue,94110,8,Mission,"37.7512439643241, -122.421585334268"
B152079,08/07/2015,"$51,325.00",3,1900 Block Of 15th Street,94114,8,Castro/Upper Market,"37.7662168893863, -122.42829350398"
B152070,08/06/2015,"$33,298.59",1,3000 Block Of Fillmore Street,94123,2,Marina,"37.7975463637841, -122.43565236707"
B152071,08/06/2015,,,600 Block Of Ivy Street,94102,5,Hayes Valley,"37.7765622028579, -122.428806240109"
B152068,08/05/2015,,,800 Block Of Fulton Street,94117,5,Hayes Valley,"37.7777004664542, -122.431132874132"
B152069,08/05/2015,,,0 Block Of Patton Street,94110,9,Bernal Heights,"37.737901469732, -122.423138550271"
B152067,08/04/2015,,,500 Block Of Ashbury Street,94117,5,Haight Ashbury,"37.7704798923756, -122.446959951281"
B152002,08/03/2015,,,0 Block Of Brant Alley,94133,3,North Beach,"37.8018094660102, -122.410456087808"
B152065,08/03/2015,,,0 Block Of Cervantes Boulevard,94123,2,Marina,"37.8035432866889, -122.438381234543"
B152066,08/03/2015,,,0 Block Of Cervantes Boulevard,94123,2,Marina,"37.8035432866889, -122.438381234543"
B151985,07/31/2015,"$29,000.00",2,700 Block Of Madrid Street,94112,11,Excelsior,"37.7177021982462, -122.435684591498"
B151998,07/31/2015,"$17,000.00",2,700 Block Of Madrid Street,94112,11,Excelsior,"37.7177021982462, -122.435684591498"
B151999,07/31/2015,,,800 Block Of Guerrero Street,94110,8,Mission,"37.7571585282999, -122.42348308604"
B152000,07/31/2015,,,800 Block Of Guerrero Street,94110,8,Mission,"37.7571585282999, -122.42348308604"
B152001,07/31/2015,,,800 Block Of Guerrero Street,94110,8,Mission,"37.7571585282999, -122.42348308604"
B151983,07/30/2015,"$24,375.50",1,800 Block Of Arguello Boulevard,94118,1,Inner Richmond,"37.7747713277335, -122.458472280276"
B151984,07/30/2015,,,500 Block Of Octavia Street,94102,5,Hayes Valley,"37.7768807991604, -122.424735232834"
B151979,07/29/2015,"$2,300.00",1,600 Block Of Thornton Avenue,94124,10,Bayview Hunters Point,"37.7314205442596, -122.400734026219"
B151980,07/29/2015,,,0 Block Of Moneta Way,94112,11,Outer Mission,"37.7129011059203, -122.449757085606"
B151981,07/29/2015,"$5,000.00",1,3200 Block Of Market Street,94114,8,Castro/Upper Market,"37.7585756445166, -122.444740673114"
B151982,07/29/2015,"$30,000.00",2,900 Block Of Ashbury Street,94117,8,Haight Ashbury,"37.7646916030879, -122.445790250946"
B151975,07/28/2015,,,1500 Block Of Grove Street,94117,5,Lone Mountain/USF,"37.7753458743902, -122.442111812368"
B151976,07/28/2015,,,200 Block Of Union Street,94133,3,North Beach,"37.8011440046309, -122.404033168218"
B151977,07/28/2015,,,300 Block Of 2nd Avenue,94118,1,Inner Richmond,"37.7821780949992, -122.459999331893"
B151978,07/28/2015,,,300 Block Of Hearst Avenue,94112,7,West of Twin Peaks,"37.7306488158809, -122.445435598834"
B151969,07/27/2015,,,300 Block Of Corbett Avenue,94114,8,Castro/Upper Market,"37.7599260499027, -122.445043500649"
B151970,07/27/2015,,,200 Block Of Gough Street,94102,5,Hayes Valley,"37.7752448322305, -122.422713877313"
B151971,07/27/2015,"$5,657.50",2,2900 Block Of Washington Street,94115,2,Pacific Heights,"37.7905932491047, -122.441808232843"
B151972,07/27/2015,,,900 Block Of Stanyan Street,94117,5,Inner Sunset,"37.7658997447235, -122.452921039477"
B151973,07/27/2015,,,3900 Block Of Washington Street,94118,2,Presidio Heights,"37.7884881835248, -122.458299803867"
B151974,07/27/2015,"$30,000.00",2,0 Block Of Eagle Street,94114,8,Castro/Upper Market,"37.7582655409459, -122.442897529977"
B151911,07/24/2015,"$20,000.00",1,1600 Block Of Beach Street,94123,2,Marina,"37.8045852594578, -122.436256553091"
B151965,07/24/2015,"$2,000.00",2,0 Block Of Emery Lane,94133,3,Chinatown,"37.7987139952379, -122.409618331128"
B151966,07/24/2015,,,400 Block Of Bright Street,94132,11,Oceanview/Merced/Ingleside,"37.7189095588003, -122.463620387974"
B151967,07/24/2015,"$29,500.00",2,200 Block Of Diamond Street,94114,8,Castro/Upper Market,"37.7583529496468, -122.437031438772"
B151968,07/24/2015,"$48,000.00",2,1300 Block Of 12th Avenue,94122,5,Inner Sunset,"37.7629619834577, -122.469525974966"
B151910,07/22/2015,,,1200 Block Of Clay Street,94108,3,Nob Hill,"37.7933820035136, -122.413660630197"
B151904,07/21/2015,"$27,517.00",3,2700 Block Of Diamond Street,94131,8,Glen Park,"37.7347861526662, -122.433850482384"
B151905,07/21/2015,"$11,500.00",1,400 Block Of Warren Drive,94131,7,Inner Sunset,"37.7579763885838, -122.462011746779"
B151906,07/21/2015,"$7,500.00",1,3600 Block Of 19th Street,94110,8,Mission,"37.7598067998463, -122.425386497527"
B151907,07/21/2015,"$45,068.80",2,100 Block Of 26th Avenue,94121,2,Seacliff,"37.7866330012114, -122.486212276152"
B151908,07/21/2015,,,500 Block Of 11th Avenue,94118,1,Inner Richmond,"37.777922840445, -122.469358764124"
B151909,07/21/2015,,,500 Block Of 11th Avenue,94118,1,Inner Richmond,"37.777922840445, -122.469358764124"
B151903,07/20/2015,"$1,750.00",1,100 Block Of Rolph Street,94112,11,Excelsior,"37.7144403622362, -122.438766892777"
B151898,07/17/2015,,,500 Block Of Munich Street,94112,11,Excelsior,"37.7170496405604, -122.429629190738"
B151899,07/17/2015,,,500 Block Of Munich Street,94112,11,Excelsior,"37.7170496405604, -122.429629190738"
B151900,07/17/2015,,,1400 Block Of 29th Avenue,94122,4,Sunset/Parkside,"37.7602909987488, -122.487712911536"
B151901,07/17/2015,,,300 Block Of Capp Street,94110,9,Mission,"37.7610971515611, -122.418263705905"
B151902,07/17/2015,"$50,361.14",2,300 Block Of Capp Street,94110,9,Mission,"37.7610971515611, -122.418263705905"
B151892,07/16/2015,,,5000 Block Of Mission Street,94112,11,Outer Mission,"37.7181090048907, -122.439892168858"
B151893,07/16/2015,,,5000 Block Of Mission Street,94112,11,Outer Mission,"37.7181090048907, -122.439892168858"
B151894,07/16/2015,,,3200 Block Of Laguna Street,94123,2,Marina,"37.8012230961469, -122.431196838983"
B151895,07/16/2015,"$25,874.00",4,1500 Block Of Baker Street,94115,2,Presidio Heights,"37.785283958956, -122.443344755862"
B151896,07/16/2015,"$75,329.00",1,200 Block Of San Carlos Street,94110,9,Mission,"37.7593832930579, -122.41997716515"
B151897,07/16/2015,"$150,000.00",2,0 Block Of Cumberland Street,94110,8,Mission,"37.7590420499841, -122.424722931348"
B151755,07/15/2015,"$12,500.00",2,1500 Block Of Sacramento Street,94109,3,Nob Hill,"37.7917592753889, -122.41839050045"
B151889,07/15/2015,"$40,175.63",2,1800 Block Of 15th Street,94103,8,Mission,"37.7664320680528, -122.42473437673"
B151890,07/15/2015,,,1000 Block Of Church Street,94114,8,Noe Valley,"37.7540983813707, -122.427590409399"
B151891,07/15/2015,"$42,000.00",3,1200 Block Of 22nd Avenue,94122,4,Sunset/Parkside,"37.7643601414555, -122.480472054533"
B151778,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151779,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151780,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151781,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151782,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151783,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151784,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151785,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151786,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151787,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151788,07/14/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151789,07/14/2015,"$80,000.00",4,3500 Block Of 24th Street,94110,8,Mission,"37.7520639988344, -122.42224208188"
B151790,07/14/2015,,,3500 Block Of 24th Street,94110,8,Mission,"37.7520639988344, -122.42224208188"
B151754,07/13/2015,"$19,650.00",2,2000 Block Of 18th Avenue,94116,7,Inner Sunset,"37.7496216663917, -122.475150816901"
B151756,07/13/2015,,,0 Block Of Cortland Avenue,94110,9,Bernal Heights,"37.7408529667662, -122.422259612682"
B151757,07/13/2015,,,0 Block Of Cortland Avenue,94110,9,Bernal Heights,"37.7408529667662, -122.422259612682"
B151758,07/13/2015,,,1700 Block Of Mission Street,94103,9,Mission,"37.769574997823, -122.420224560688"
B151759,07/13/2015,"$33,000.00",5,3700 Block Of San Bruno Avenue,94134,10,Visitacion Valley,"37.7148913827983, -122.399790666158"
B151760,07/13/2015,"$36,205.00",4,200 Block Of Winfield Street,94110,9,Bernal Heights,"37.7416335795618, -122.41912899617"
B151750,07/10/2015,"$13,000.00",2,100 Block Of Trumbull Street,94112,11,Excelsior,"37.7307911500847, -122.427261742832"
B151751,07/10/2015,,,900 Block Of De Haro Street,94107,10,Potrero Hill,"37.7576542808877, -122.400983643574"
B151752,07/10/2015,"$20,354.00",5,1300 Block Of 24th Avenue,94122,4,Sunset/Parkside,"37.7623981650631, -122.482348233619"
B151753,07/10/2015,,,400 Block Of Lombard Street,94133,3,North Beach,"37.8032803608746, -122.408937098313"
B151704,07/09/2015,,,1500 Block Of Grove Street,94117,5,Lone Mountain/USF,"37.7753458743902, -122.442111812368"
B151705,07/09/2015,,,1500 Block Of Grove Street,94117,5,Lone Mountain/USF,"37.7753458743902, -122.442111812368"
B151706,07/09/2015,,,1500 Block Of Grove Street,94117,5,Lone Mountain/USF,"37.7753458743902, -122.442111812368"
B151707,07/09/2015,,,1300 Block Of Grove Street,94117,5,Hayes Valley,"37.7757652648937, -122.438812235564"
B151708,07/09/2015,"$20,354.00",2,2000 Block Of Larkin Street,94109,3,Russian Hill,"37.7965929264824, -122.420281529716"
B151695,07/08/2015,"$25,000.00",1,0 Block Of Walter Street,94114,8,Castro/Upper Market,"37.7683932188581, -122.432312796958"
B151696,07/08/2015,,,0 Block Of Walter Street,94114,8,Castro/Upper Market,"37.7683932188581, -122.432312796958"
B151697,07/08/2015,,,0 Block Of Walter Street,94114,8,Castro/Upper Market,"37.7683932188581, -122.432312796958"
B151698,07/08/2015,,,0 Block Of Walter Street,94114,8,Castro/Upper Market,"37.7683932188581, -122.432312796958"
B151699,07/08/2015,,,600 Block Of Moultrie Street,94110,9,Bernal Heights,"37.736619555101, -122.415940082847"
B151700,07/08/2015,,,0 Block Of Raymond Avenue,94134,10,Visitacion Valley,"37.7121484523782, -122.404287840075"
B151694,07/07/2015,,,100 Block Of Ellert Street,94110,9,Bernal Heights,"37.7383022120502, -122.41721591689"
B151693,07/06/2015,"$45,000.00",1,4400 Block Of 23rd Street,94114,8,Noe Valley,"37.7523843936866, -122.441643241297"
B151600,07/02/2015,,,2000 Block Of Kirkham Street,94122,4,Sunset/Parkside,"37.7596269630789, -122.482760482448"
B151601,07/02/2015,,,2000 Block Of Divisadero Street,94115,2,Pacific Heights,"37.7885177225238, -122.440647405632"
B151602,07/02/2015,"$70,000.00",4,200 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7839758036439, -122.462278443445"
B151599,07/01/2015,"$20,000.00",2,1700 Block Of Green Street,94123,2,Marina,"37.7970417088164, -122.427891886108"
B151566,06/30/2015,"$20,000.00",4,500 Block Of Athens Street,94112,11,Excelsior,"37.7192819923084, -122.430129309919"
B151583,06/30/2015,"$34,500.00",3,1200 Block Of York Street,94110,9,Mission,"37.7520587496867, -122.408043927448"
